,origin_crs,Count
0,AAP,80
1,ABW,77
2,ABY,72
3,ACB,83
4,ACC,78
5,ACG,66
6,ACK,14
7,ACL,9
8,ACR,61
9,ACT,77
10,ADC,77
11,ADD,66
12,ADK,72
13,ADL,59
14,ADM,64
15,ADV,69
16,AFK,72
17,AFS,80
18,AFV,56
19,AGT,74
20,AHD,83
21,AHN,65
22,AHS,76
23,AHT,79
24,AHV,79
25,AIG,66
26,AIN,66
27,ALB,68
28,ALD,73
29,ALF,56
30,ALK,39
31,ALM,14
32,ALN,70
33,ALP,48
34,ALR,56
35,ALT,60
36,ALV,59
37,ALW,16
38,AMB,59
39,AML,79
40,AMR,72
41,AMT,69
42,AMY,77
43,ANC,39
44,ANF,51
45,ANG,68
46,ANS,67
47,ANZ,79
48,AON,76
49,APB,72
50,APD,71
51,APF,75
52,APG,77
53,APN,10
54,APP,49
55,APS,90
56,APY,61
57,ARL,72
58,ARN,52
59,ARR,27
60,ARU,68
61,ASC,32
62,ASG,80
63,ASH,79
64,ASK,41
65,ASN,81
66,ASP,20
67,AST,66
68,ASY,59
69,ATB,64
70,ATH,64
71,ATL,12
72,ATN,73
73,AUD,69
74,AUG,66
75,AUW,76
76,AVF,34
77,AVN,29
78,AVP,80
79,AWK,63
80,AWM,67
81,AWT,39
82,AXM,19
83,AYH,64
84,AYL,70
85,AYP,77
86,AYS,80
87,BAA,69
88,BAB,80
89,BAC,76
90,BAD,78
91,BAG,78
92,BAH,66
93,BAK,83
94,BAL,81
95,BAM,67
96,BAN,48
97,BAR,52
98,BAS,6
99,BAT,72
100,BAU,41
101,BAV,43
102,BAW,82
103,BAY,77
104,BBK,68
105,BBL,80
106,BBN,61
107,BBS,66
108,BBW,64
109,BCB,73
110,BCC,11
111,BCE,77
112,BCF,84
113,BCH,57
114,BCJ,66
115,BCS,74
116,BCU,42
117,BCV,75
118,BCY,79
119,BDA,10
120,BDB,65
121,BDH,65
122,BDI,61
123,BDK,73
124,BDL,67
125,BDM,85
126,BDN,15
127,BDQ,60
128,BDS,4
129,BDT,23
130,BDW,69
131,BDY,67
132,BEB,71
133,BEC,79
134,BEE,64
135,BEF,70
136,BEG,76
137,BEH,61
138,BEM,23
139,BEN,52
140,BEP,64
141,BER,45
142,BES,67
143,BET,77
144,BEU,51
145,BEV,27
146,BEX,67
147,BEY,59
148,BFD,81
149,BFE,6
150,BFN,86
151,BFR,88
152,BGA,10
153,BGE,66
154,BGG,57
155,BGH,64
156,BGL,5
157,BGM,79
158,BHI,61
159,BHK,76
160,BHM,66
161,BHO,75
162,BHS,64
163,BIA,22
164,BIC,76
165,BID,67
166,BIF,41
167,BIG,78
168,BIK,79
169,BIL,16
170,BIN,51
171,BIP,69
172,BIS,69
173,BIT,75
174,BIW,72
175,BIY,59
176,BKA,83
177,BKC,67
178,BKD,57
179,BKG,78
180,BKH,78
181,BKJ,79
182,BKL,77
183,BKM,91
184,BKN,67
185,BKO,82
186,BKP,67
187,BKQ,67
188,BKS,64
189,BKT,66
190,BKW,61
191,BLB,70
192,BLD,59
193,BLE,63
194,BLK,62
195,BLL,15
196,BLM,78
197,BLN,66
198,BLO,14
199,BLP,64
200,BLV,72
201,BLW,64
202,BLX,59
203,BLY,77
204,BMB,59
205,BMC,62
206,BMD,75
207,BME,46
208,BMF,37
209,BMG,74
210,BMH,31
